Acquiring GM,Team Acquiring,Combined Win Shares,Combined Expected Win Shares,Count,Average Draft Pick,GM_Pct Change,Grade,z score
Andy Elisburg,MIA,5.05,2.18428027498678,2,22.5,1.3119743642012995,A,1.690694537151381
Anthony Parker,ORL,1.6,2.528891591750396,2,8.5,-0.36731174826970536,D,-0.5104640424777644
Bob Myers,GSW,5.0,4.158723955579058,2,10.5,0.2022918696713072,B,0.2361555367038683
Bobby Webster,TOR,6.716666666666667,5.554710206240084,5,28.6,0.20918399291492418,B,0.24518952805107594
Brad Stevens,BOS,0.35,1.3408900052882073,3,45.333333333333336,-0.7389793356504497,F,-0.9976349257820925
Brian Wright,SAS,4.25,9.561003172924377,8,24.0,-0.5554859753592076,D,-0.7571172550227427
Calvin Booth,DEN,5.35,5.14069698572184,5,28.6,0.04071490983800308,B,0.024365235595419126
Chad Buchanan,IND,7.266666666666667,9.775562665256476,10,29.9,-0.25664977909729203,D,-0.36541160556807767
Daryl Morey,PHI,0.4666666666666665,2.0237794817556845,3,43.666666666666664,-0.7694083417320644,F,-1.0375203671662152
Joe Cronin,POR,3.0666666666666664,7.973759915388682,9,31.666666666666668,-0.6154051916275709,D,-0.8356575918922525
John Hammond,ORL,11.716666666666667,7.589864093072446,4,11.5,0.5437254900731237,B,0.6836966301125565
Jon Horst,MIL,2.0833333333333335,2.066680063458487,5,46.4,0.008057981576005346,C,-0.018440500302948214
Justin Zanik,UTA,7.183333333333333,6.907990481226863,6,21.5,0.03985860328770596,B,0.023242814290329178
Koby Altman,CLE,6.2,3.804328397673188,5,39.2,0.6297226085403296,A,0.7964191100590718
Landry Fields,ATL,0.7000000000000002,3.257387625594923,4,32.0,-0.7851038683576526,F,-1.058093599349309
Marc Eversley,CHI,4.183333333333333,2.998074034902168,3,30.333333333333332,0.3953402366429024,B,0.4891976276776657
Michael Winger,LAC,0.1333333333333333,2.063881544156531,3,42.333333333333336,-0.935396809128489,F,-1.2550931419398417
Mike Dunleavy Jr.,GSW,9.149999999999999,2.826525647805393,5,40.6,2.237189801233312,A,2.903439573333241
Mitch Kupchak,CHO,3.5,10.32722845055526,10,28.7,-0.661090096267618,D,-0.8955400139888715
Monte McNair,SAC,5.783333333333333,6.619680592279217,6,27.333333333333332,-0.1263425398381527,C,-0.19460872954060449
Nico Harrison,DAL,5.4,1.969414066631412,2,24.5,1.741932278993234,A,2.254270657977584
Rafael Stone,HOU,18.916666666666664,14.351453728186142,9,15.333333333333334,0.318101080555657,B,0.3879548258452945
Rob Pelinka,LAL,0.1499999999999999,2.204054997355896,3,33.0,-0.9319436220149007,F,-1.250566806382314
Sam Presti,OKC,24.183333333333334,13.274850872554202,10,23.0,0.8217404900067431,A,1.0481104711041993
Scott Perry,NYK,5.933333333333333,3.1422533051295605,4,40.25,0.888241576084106,A,1.1352781282930342
Sean Marks,BRK,5.5,5.8667287149656255,8,37.75,-0.06250991528381489,C,-0.11093881280957292
Tim Connelly,MIN,0.75,2.793133791644632,5,41.4,-0.7314843985477721,F,-0.9878107838536727
Tommy Sheppard,WAS,2.5999999999999996,3.0998529878371226,2,23.0,-0.1612505463318401,C,-0.24036511222054324
Trajan Langdon,NOP,13.4,7.802937070333154,7,28.714285714285715,0.7173020721834265,A,0.9112156812720967
Travis Schlenk,ATL,1.9000000000000001,2.1680465362242196,2,34.0,-0.12363504737819797,C,-0.19105982848482123
Trent Redden,LAC,0.6,0.9818593336858803,2,39.0,-0.3889145018893776,D,-0.5387802931276233
Troy Weaver,DET,8.8,10.657684822845054,10,27.7,-0.17430472506214978,D,-0.25747614368733246
Will Dawkins,WAS,0.30000000000000004,3.6718318350079313,4,28.25,-0.9182969118738653,F,-1.2326791022635375
Zach Kleiman,MEM,7.316666666666666,7.698233738762558,8,33.5,-0.04956553477645198,C,-0.09397170160668188
