Team Acquiring,Acquiring GM,final_ratio,Grade,z score
MIA,Andy Elisburg,1.3756588072122053,B,-0.08368616596769309
TOR,Bobby Webster,0.5291153415453527,F,-0.5500676839630747
BOS,Brad Stevens,2.0461870321025253,A,0.28572424716065553
SAS,Brian Wright,0.27426810477657937,F,-0.6904692651713376
DEN,Calvin Booth,9.022556390977442,A,4.129176903340022
IND,Chad Buchanan,0.9592809906002865,C,-0.3130788977609722
PHI,Daryl Morey,1.0560276537519806,C,-0.25977879274376364
PHO,James Jones,1.315593087195601,B,-0.11677784148935369
POR,Joe Cronin,0.6491830065359477,D,-0.48391946815189535
MIL,Jon Horst,0.5418504107220061,D,-0.543051622608558
UTA,Justin Zanik,1.775147928994083,B,0.13640217042092637
CLE,Koby Altman,0.9625488190440765,C,-0.31127857107725876
ATL,Landry Fields,0.7349563619660082,D,-0.4366648269770123
CHI,Marc Eversley,1.9696374971138308,A,0.2435512344592407
LAC,Michael Winger,1.1624334516415262,C,-0.20115723395098017
GSW,Mike Dunleavy Jr.,0.8067226890756305,D,-0.3971270005855785
CHO,Mitch Kupchak,1.3430243593799431,B,-0.1016652821456936
SAC,Monte McNair,0.9083672657134982,D,-0.3411285151315281
DAL,Nico Harrison,1.5383308273773966,B,0.005933832032355123
HOU,Rafael Stone,0.16987002212389388,F,-0.747984724492747
LAL,Rob Pelinka,0.24261071320488245,F,-0.7079100971377762
MIN,Sachin Gupta,2.928571428571428,A,0.7718514112944312
OKC,Sam Presti,0.641020944006839,D,-0.4884161482004506
NYK,Scott Perry,1.6261848341232228,B,0.05433475494990271
BRK,Sean Marks,1.232752613240418,C,-0.16241668646495183
MIN,Tim Connelly,2.2413145539906107,A,0.3932247755465847
WAS,Tommy Sheppard,1.8938003977859665,A,0.20177072000327662
NOP,Trajan Langdon,1.2124899839743588,C,-0.1735798649418398
ATL,Travis Schlenk,6.730434782608696,A,2.866390999843691
DET,Troy Weaver,0.43434531570124785,F,-0.6022788111009093
WAS,Will Dawkins,0.16357540926506445,F,-0.751452580804155
MEM,Zach Kleiman,0.39406364749082,F,-0.6244709681835544
